Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
College of Agriculture and Natural Resources,San Francisco,College of Agriculture and Natural Resources,Scholarship,3584,2010-08-18,Landscape Architecture,1714,CA
College of Natural Science,Birmingham,College of Arts and Sciences,Scholarship,6171,2011-01-16,Spanish,1715,AL
College of Natural Science,Omaha,College of Agriculture and Natural Resources,Scholarship,1954,2013-03-17,Agriculture and Natural Resources-No Preference,1716,NE
Trustees Fund,Seattle,College of Communication Arts and Sciences,Endowment,2271,2010-01-19,Advertising,1717,WA
Campus Recreation,Denver,College of Social Science,Campus Resource,9984,2011-03-03,Sociology,1718,CO
College of Political Science,Tulsa,College of Social Science,Scholarship,1181,2013-07-29,Geographic Information Science,1719,OK
Faculty Chair Endowments,North Las Vegas,College of Natural Science,Endowment,9854,2010-05-27,Microbiology,1720,NV
College of Natural Science,Denver,College of Arts and Sciences,Scholarship,13669.5,2011-12-13,Spanish,1721,CO
In-State Scholarship Fund,Boston,College of Social Science,Scholarship,4382,2013-02-11,Human Development and Family Studies,1722,MA
Trustees Fund,Phoenix,College of Nursing,Endowment,911,2010-12-15,Summer Research Program,1723,AZ
University Annual Fund,West Valley City,College of Social Science,Endowment,7843,2011-07-22,Psychology,1724,UT
Faculty Chair Endowments,Little Rock,College of Business,Endowment,6005,2013-12-17,Marketing,1725,AR
Campus Recreation,Raleigh,College of Natural Science,Campus Resource,2808,2010-01-28,Mathematics,1726,NC
College of Arts and Sciences,Detroit,College of Education,Scholarship,9395,2011-01-07,Education,1727,MI
Diversity Fund,San Francisco,College of Arts and Sciences,Endowment,9039,2013-10-02,Experience Architecture,1728,CA
Faculty Chair Endowments,Cedar Rapids,College of Social Science,Endowment,5013,2010-08-31,Political Science,1729,IA
Faculty Chair Endowments,Philadelphia,College of Education,Endowment,3135,2011-07-10,Education,1730,PA
Campus Museums,Minneapolis,College of Natural Science,Campus Resource,740,2013-07-10,Predental,1731,MN
Honors Program,San Francisco,College of Business,Campus Resource,8074,2010-04-29,Supply Chain Management,1732,CA
College of Agriculture and Natural Resources,Nashville,College of Social Science,Scholarship,8523,2013-07-30,Political Science-Prelaw,1733,TN
Diversity Fund,Amarillo,College of Business,Endowment,2065,2010-09-30,Accounting,1734,TX
College of Social Science,Los Angeles,College of Natural Science,Scholarship,2731,2011-04-01,"Mathematics, Advanced",1735,CA
College of Social Science,Milwaukee,College of Natural Science,Scholarship,2959,2013-03-29,Actuarial Science,1736,WI
Faculty Chair Endowments,Louisville,College of Social Science,Endowment,4988,2011-03-27,Sociology,1737,KY
In-State Scholarship Fund,Portland,College of Arts and Sciences,Scholarship,4256,2013-12-11,Humanities-Prelaw,1738,OR
College of Arts and Sciences,Cleveland,College of Music,Scholarship,4187,2010-08-28,Composition,1739,OH
Minority Scholarship Fund,Los Angeles,College of Agriculture and Natural Resources,Scholarship,9804,2011-12-06,Entomology,1740,CA
College of Arts and Sciences,Denver,College of Nursing,Scholarship,6823.5,2013-12-22,Prenursing,1741,CO
Faculty Chair Endowments,Pittsburgh,College of Arts and Sciences,Endowment,1325,2010-06-26,Spanish,1742,PA
Diversity Fund,Denver,College of Social Science,Endowment,4444.5,2011-01-04,Urban and Regional Planning,1743,CO
Diversity Fund,Tallahassee,College of Natural Science,Endowment,3549,2013-01-26,Geological Sciences,1744,FL
Parents Association,Louisville,College of Natural Science,Campus Resource,9667,2010-04-27,Preoptometry,1745,KY
Campus Museums,Salem,College of Arts and Sciences,Campus Resource,3724,2011-01-13,Professional Writing,1746,OR
University Annual Fund,Kansas City,College of Arts and Sciences,Endowment,7675,2013-09-13,Theatre,1747,MO
Honors Program,Denver,College of Social Science,Campus Resource,14196,2010-01-08,Public Policy,1748,CO
Diversity Fund,New York,College of Business,Endowment,5687,2011-08-31,Human Resource Management,1749,NY
Trustees Fund,Atlanta,College of Education,Endowment,2015,2013-07-28,Athletic Training,1750,GA
Minority Scholarship Fund,San Francisco,College of Business,Scholarship,2668,2013-01-10,Finance,1751,CA
Faculty Chair Endowments,Louisville,College of Natural Science,Endowment,6116,2010-08-15,Preoptometry,1752,KY
Faculty Chair Endowments,Chicago,College of Natural Science,Endowment,8010,2011-06-21,Plant Biology,1753,IL
Athletics,North Las Vegas,College of Arts and Sciences,Campus Resource,2587,2013-09-10,Studio Art,1754,NV
College of Engineering,San Francisco,College of Social Science,Scholarship,858,2013-07-17,Economics,1755,CA
College of Engineering,Hartford,College of Political Science,Scholarship,4286,2010-12-14,College of Political Science,1756,CT
Athletics,Phoenix,College of Social Science,Campus Resource,4958,2011-12-18,Social Work,1757,AZ
Parents Association,Pittsburgh,College of Arts and Sciences,Campus Resource,7126,2013-06-30,Studio Art,1758,PA
Trustees Fund,Los Angeles,College of Natural Science,Endowment,2441,2013-04-10,Environmental Biology/Microbiology,1759,CA
College of Business,Oklahoma City,College of Business,Scholarship,8182,2010-06-21,Marketing,1760,OK
Trustees Fund,Jacksonville,College of Communication Arts and Sciences,Endowment,5955,2011-12-05,Media and Information,1761,FL
Campus Recreation,Boston,College of Agriculture and Natural Resources,Campus Resource,8199,2013-11-23,Animal Science,1762,MA
College of Engineering,Hartford,College of Natural Science,Scholarship,2720,2013-11-15,Statistics,1763,CT
Trustees Fund,Dallas,College of Social Science,Endowment,7782,2010-07-22,Sociology,1764,TX
Trustees Fund,Chicago,College of Engineering,Endowment,2422,2011-02-22,Applied Engineering Sciences,1765,IL
Campus Recreation,Denver,College of Natural Science,Campus Resource,12841.5,2013-10-10,Computational Mathematics,1766,CO
In-State Scholarship Fund,Los Angeles,College of Communication Arts and Sciences,Scholarship,4602,2013-02-23,Journalism,1767,CA
College of Natural Science,Detroit,College of Arts and Sciences,Scholarship,2845,2010-02-07,Theatre,1768,MI
University Annual Fund,Denver,College of Natural Science,Endowment,10794,2011-03-07,Chemical Physics,1769,CO
Campus Museums,Atlanta,College of Engineering,Campus Resource,313,2013-03-15,Materials Science and Engineering,1770,GA
Honors Program,Milwaukee,College of Business,Campus Resource,2266,2013-02-23,General Management,1771,WI
College of Music,Memphis,College of Natural Science,Scholarship,5151,2010-07-10,Statistics,1772,TN
College of Natural Science,New York,College of Natural Science,Scholarship,1920,2011-02-05,Geological Sciences,1773,NY
College of Social Science,Boston,College of Agriculture and Natural Resources,Scholarship,4238,2013-10-25,Landscape Architecture,1774,MA
University Annual Fund,Miami,College of Communication Arts and Sciences,Endowment,8297,2013-12-16,Media and Information,1775,FL
University Annual Fund,Salem,College of Arts and Sciences,Endowment,3793,2010-12-01,Arabic,1776,OR
Alumni Association,Miami,College of Social Science,Campus Resource,9005,2011-01-22,Global & Area Studies - Soc Sci,1777,FL
University Libraries,Houston,College of Agriculture and Natural Resources,Campus Resource,4821,2013-05-30,Fisheries and Wildlife,1778,TX
Diversity Fund,Orlando,College of Natural Science,Endowment,2960,2013-02-03,Neuroscience,1779,FL
College of Arts and Sciences,Kansas City,College of Social Science,Scholarship,6146,2010-06-22,Psychology,1780,MO
In-State Scholarship Fund,St. Louis,College of Engineering,Scholarship,2048,2011-07-09,Materials Science and Engineering,1781,MO
College of Social Science,Houston,College of Arts and Sciences,Scholarship,8906,2013-05-16,English,1782,TX
Trustees Fund,Los Angeles,College of Agriculture and Natural Resources,Endowment,3071,2013-03-23,Interior Design,1783,CA
University Annual Fund,Wichita,College of Political Science,Endowment,8849,2010-08-08,Political Theory and Constitutional Democracy,1784,KS
Alumni Association,Denver,College of Music,Campus Resource,14367,2011-11-21,Composition,1785,CO
College of Arts and Sciences,Chicago,College of Natural Science,Scholarship,267,2013-04-22,Earth Science Interdepartmental,1786,IL
College of Arts and Sciences,Las Vegas,College of Arts and Sciences,Scholarship,2293,2013-11-18,Apparel and Textiles,1787,NV
University Annual Fund,Atlanta,College of Natural Science,Endowment,7392,2010-09-28,Earth Science Interdepartmental,1788,GA
College of Arts and Sciences,Charleston,College of Engineering,Scholarship,508,2011-09-24,Electrical Engineering,1789,SC
Minority Scholarship Fund,Dallas,College of Natural Science,Scholarship,7019,2013-04-28,Mathematics,1790,TX
University Annual Fund,Charlotte,College of Social Science,Endowment,5068,2013-02-10,Urban and Regional Planning,1791,NC
College of Agriculture and Natural Resources,Cincinnati,College of Communication Arts and Sciences,Scholarship,5342,2010-06-13,Media and Information,1792,OH
College of Social Science,Portland,College of Education,Scholarship,3254,2011-09-13,Education,1793,OR
University Annual Fund,Charleston,College of Engineering,Endowment,2524,2013-10-31,Engineering-No Major,1794,SC
Diversity Fund,Richmond,College of Natural Science,Endowment,1049,2013-06-12,Genomics & Molecular Genetics,1795,VA
College of Agriculture and Natural Resources,Wichita,College of Natural Science,Scholarship,2049,2010-03-09,Biomedical Laboratory Science,1796,KS
College of Agriculture and Natural Resources,Columbia,College of Arts and Sciences,Scholarship,4649,2011-10-28,German,1797,SC
College of Natural Science,Los Angeles,College of Arts and Sciences,Scholarship,6377,2013-06-29,Interdisciplinary Humanities,1798,CA
Faculty Chair Endowments,Sacramento,College of Political Science,Endowment,8700,2013-06-05,College of Political Science,1799,CA
Alumni Association,New York,College of Natural Science,Campus Resource,4111,2010-11-28,Geological Sciences,1800,NY
University Libraries,Savannah,College of Social Science,Campus Resource,612,2011-08-11,Public Policy,1801,GA
College of Social Science,Syracuse,College of Political Science,Scholarship,8924,2013-11-16,College of Political Science,1802,NY
College of Natural Science,Durham,College of Engineering,Scholarship,4239,2010-12-17,Computer Engineering,1803,NC
College of Social Science,Columbia,College of Social Science,Scholarship,989,2011-01-02,History,1804,SC
College of Agriculture and Natural Resources,Los Angeles,College of Arts and Sciences,Scholarship,7903,2013-01-19,Apparel and Textile Design,1805,CA
College of Agriculture and Natural Resources,New York,College of Natural Science,Scholarship,5992,2013-01-05,Biomedical Laboratory Science,1806,NY
Trustees Fund,St. Louis,College of Nursing,Endowment,4059,2010-01-31,Summer Research Program,1807,MO
University Annual Fund,Rochester,College of Arts and Sciences,Endowment,22868,2011-02-26,German,1808,NY
Faculty Chair Endowments,Raleigh,College of Social Science,Endowment,7597,2013-03-31,Global & Area Studies - Soc Sci,1809,NC
College of Arts and Sciences,Boston,College of Social Science,Scholarship,7595,2010-09-30,Political Science-Prelaw,1810,MA
In-State Scholarship Fund,Amarillo,College of Natural Science,Scholarship,4784,2011-02-05,Biochemistry and Molecular Biology,1811,TX
College of Natural Science,Charlotte,College of Political Science,Scholarship,8987,2013-08-06,Comparative Cultures and Politics,1812,NC
Faculty Chair Endowments,Fresno,College of Natural Science,Endowment,9016,2013-09-03,Geological Sciences,1813,CA
Faculty Chair Endowments,Denver,College of Social Science,Endowment,4582.5,2010-07-12,Interdisciplinary Studies in Social Science - Social Science Education,1814,CO
Faculty Chair Endowments,Indianapolis,College of Natural Science,Endowment,4014,2011-09-12,Genomics & Molecular Genetics,1815,IN
Diversity Fund,Kansas City,College of Social Science,Endowment,8642,2013-12-28,Interdisciplinary Studies in Social Science - Social Science Education,1816,KS
College of Political Science,Hartford,College of Business,Scholarship,4982,2013-04-17,Accounting,1817,CT
University Libraries,Mobile,College of Social Science,Campus Resource,9097,2010-01-29,Economics,1818,AL
College of Engineering,Birmingham,College of Nursing,Scholarship,9833,2011-06-03,Summer Research Program,1819,AL
Trustees Fund,Manchester,College of Music,Endowment,2310,2013-04-03,Jazz Studies,1820,NH
Faculty Chair Endowments,San Antonio,College of Arts and Sciences,Endowment,4078,2010-11-09,French,1821,TX
College of Natural Science,Cincinnati,College of Music,Scholarship,9273,2011-06-18,Music,1822,OH
University Annual Fund,Kansas City,College of Communication Arts and Sciences,Endowment,5057,2013-06-26,Advertising,1823,MO
University Libraries,Tallahassee,College of Arts and Sciences,Campus Resource,7614,2013-02-21,Experience Architecture,1824,FL
Campus Recreation,New York,College of Natural Science,Campus Resource,5717,2010-01-10,Chemistry,1825,NY
College of Communication Arts and Sciences,Los Angeles,College of Communication Arts and Sciences,Scholarship,9012,2011-08-21,Media and Information,1826,CA
Diversity Fund,Detroit,College of Political Science,Endowment,3057,2013-04-30,College of Political Science,1827,MI
Diversity Fund,Dallas,College of Social Science,Endowment,5510,2013-01-22,Social Work,1828,TX
Alumni Association,Richmond,College of Arts and Sciences,Campus Resource,5962,2010-11-22,Apparel and Textile Design,1829,VA
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,6399,2011-08-29,Packaging,1830,CO
Faculty Chair Endowments,New York,College of Social Science,Endowment,6324,2013-11-14,Public Policy,1831,NY
Parents Association,San Francisco,College of Engineering,Campus Resource,4705,2010-10-10,Biosystems Engineering,1832,CA
College of Agriculture and Natural Resources,Richmond,College of Music,Scholarship,9393,2011-06-04,Music Performance,1833,VA
Faculty Chair Endowments,Philadelphia,College of Agriculture and Natural Resources,Endowment,8166,2013-08-16,Packaging,1834,PA
Trustees Fund,El Paso,College of Social Science,Endowment,8357,2013-09-17,Interdisciplinary Studies in Social Science - Social Science Education,1835,TX
College of Natural Science,Boston,College of Agriculture and Natural Resources,Scholarship,8403,2010-04-06,Interior Design,1836,MA
